GTD ID,DATE,COUNTRY,CITY,PERPETRATOR GROUP,FATALITIES,INJURED,TARGET TYPE,REGION,ATTACK TYPE,WEAPON TYPE
2.02012E+11,31-12-20,India,Sangam,Unknown,0,1,Police,South Asia,Armed Assault,"Explosives,Firearms"
2.02012E+11,31-12-20,India,Srinagar,The Resistance Front (TRF),1,0,Business,South Asia,Armed Assault,Firearms
2.02012E+11,30-12-20,India,Malakangiri,Maoists,0,1,Military,South Asia,Bombing/Explosion,"Explosives,Explosives"
2.02012E+11,30-12-20,India,Jandi,Unknown,0,0,Religious Figures/Institutions,South Asia,Bombing/Explosion,Explosives
2.02012E+11,30-12-20,India,Pusnar,Maoists,0,1,Unknown,South Asia,Bombing/Explosion,"Explosives,Explosives"
2.02012E+11,28-12-20,India,West Singhbhum district,Communist Party of India - Maoist (CPI-Maoist),0,0,Unknown,South Asia,Bombing/Explosion,Explosives
2.02012E+11,24-12-20,India,Watergam,Unknown,0,1,Police,South Asia,Bombing/Explosion,Explosives
2.02012E+11,24-12-20,India,Srinagar,Unknown,0,0,Police,South Asia,Bombing/Explosion,Explosives
2.02012E+11,23-12-20,India,Khalari,Maoists,0,Unknown,Business,South Asia,"Armed Assault,Facility/Infrastructure Attack","Firearms,Melee,Sabotage Equipment"
2.02012E+11,23-12-20,India,Dudderhama,Unknown,2,4,"Police,Government (General)",South Asia,Bombing/Explosion,Explosives
2.02012E+11,21-12-20,India,West Singhbhum district,Communist Party of India - Maoist (CPI-Maoist),0,0,Unknown,South Asia,Bombing/Explosion,Explosives
2.02012E+11,21-12-20,India,Khumchaikha,"United Liberation Front of Assam (ULFA),National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),National Socialist Council of Nagaland-Khaplang (NSCN-K)",0,0,Business,South Asia,Hostage Taking (Kidnapping),Firearms
2.02012E+11,21-12-20,India,Imphal,Unknown,0,0,Unknown,South Asia,Bombing/Explosion,Explosives
2.02012E+11,20-12-20,India,Achabal,Unknown,0,2,"Police,Police",South Asia,Armed Assault,"Explosives,Firearms"
2.02012E+11,19-12-20,India,Swabhiman Anchal,Maoists,0,0,Military,South Asia,Bombing/Explosion,Explosives
2.02012E+11,18-12-20,India,Balumath,Jharkhand Janmukti Parishad (JJP),0,4,Business,South Asia,Facility/Infrastructure Attack,"Incendiary,Unknown"
